," ""Frames""","""Bytes""","""AVG""","""Frames_src""","""Bytes_src""","""AVG_src""","""Frames_dst""","""Bytes_dst""","""AVG_dst"""
1623,2299,249786,152,964,99380,152,1335,150406,152
1624,2179,243220,155,906,96220,155,1273,147000,155
1625,2240,248447,154,941,100511,154,1299,147936,154
1626,2292,253763,153,963,102468,153,1329,151295,153
1627,2083,220800,153,873,84572,153,1210,136228,153
1628,2277,254863,155,954,104368,155,1323,150495,155
1629,2182,242357,159,906,95493,159,1276,146864,159
1630,2251,248202,164,944,98892,164,1307,149310,164
1631,2276,250153,155,951,99377,155,1325,150776,155
1632,2177,242323,152,910,96091,152,1267,146232,152
1633,2226,250325,156,933,103012,156,1293,147313,156
1634,0,0,154,0,0,154,0,0,154
1635,0,0,163,0,0,163,0,0,163
1636,0,0,153,0,0,153,0,0,153
1637,0,0,155,0,0,155,0,0,155
1638,0,0,154,0,0,154,0,0,154
1639,0,0,156,0,0,156,0,0,156
1640,0,0,156,0,0,156,0,0,156
1641,0,0,164,0,0,164,0,0,164
1642,0,0,159,0,0,159,0,0,159
1643,0,0,156,0,0,156,0,0,156
1644,0,0,154,0,0,154,0,0,154
1645,0,0,155,0,0,155,0,0,155
1646,0,0,152,0,0,152,0,0,152
1647,0,0,155,0,0,155,0,0,155
1648,0,0,154,0,0,154,0,0,154
1649,0,0,153,0,0,153,0,0,153
1650,0,0,153,0,0,153,0,0,153
1651,0,0,155,0,0,155,0,0,155
1652,0,0,159,0,0,159,0,0,159
1653,0,0,164,0,0,164,0,0,164
1654,0,0,155,0,0,155,0,0,155
1655,0,0,152,0,0,152,0,0,152
1656,0,0,156,0,0,156,0,0,156
1657,68,8616,154,27,5260,154,41,3356,154
1658,1345,404277,163,594,299881,163,751,104396,163
1659,123,19905,153,53,14130,153,70,5775,153
1660,90,12468,155,38,8174,155,52,4294,155
1661,46,5422,154,17,3040,154,29,2382,154
1662,202,56213,156,94,45068,156,108,11145,156
1663,34,4141,156,9,1794,156,25,2347,156
1664,1675,506060,164,779,368308,164,896,137752,164
1665,31,2746,159,6,435,159,25,2311,159
1666,36,3646,156,8,782,156,28,2864,156
1667,78,11939,154,26,6705,154,52,5234,154
1668,23,2016,155,4,266,155,19,1750,155
1669,31,2723,152,7,501,152,24,2222,152
1670,638,105457,155,234,49698,155,404,55759,155
1671,48,9433,154,16,5998,154,32,3435,154
1672,57,5856,153,21,2486,153,36,3370,153
1673,71,9790,153,30,6359,153,41,3431,153
1674,29,2593,155,5,339,155,24,2254,155
1675,195,56683,159,89,44121,159,106,12562,159
1676,1187,402447,164,553,290448,164,634,111999,164
1677,75,9677,155,33,6004,155,42,3673,155
1678,105,14429,152,45,9622,152,60,4807,152
1679,47,5663,156,16,2725,156,31,2938,156
1680,3109,1068939,154,588,74338,154,2521,994601,154
1681,2908,1030279,163,497,61671,163,2411,968608,163
1682,3383,1102829,153,708,91029,153,2675,1011800,153
1683,3259,1076599,155,653,84448,155,2606,992151,155
1684,3038,1055740,154,554,70773,154,2484,984967,154
1685,3246,1080743,156,652,86674,156,2594,994069,156
1686,3082,1064181,156,578,69889,156,2504,994292,156
1687,3018,1051290,164,556,65714,164,2462,985576,164
1688,3837,1245188,159,1028,203315,159,2809,1041873,159
1689,3045,1063334,156,563,68282,156,2482,995052,156
1690,2979,1046689,154,541,65234,154,2438,981455,154
1691,2916,1034553,155,500,60132,155,2416,974421,155
1692,3011,1049410,152,544,64404,152,2467,985006,152
1693,3095,1072324,155,585,70084,155,2510,1002240,155
1694,2947,1038350,154,517,62201,154,2430,976149,154
1695,2999,1051719,153,540,66958,153,2459,984761,153
1696,3061,1056151,153,562,69837,153,2499,986314,153
1697,3064,1066087,155,574,71298,155,2490,994789,155
1698,2944,1040554,159,519,66536,159,2425,974018,159
1699,2976,1049201,164,532,64240,164,2444,984961,164
1700,3001,1046852,155,546,69102,155,2455,977750,155
1701,3248,1076171,152,648,86198,152,2600,989973,152
1702,2998,1050325,156,533,65644,156,2465,984681,156
1703,282,51219,154,107,31661,154,175,19558,154
1704,286,50163,163,105,30989,163,181,19174,163
1705,276,49634,153,96,31080,153,180,18554,153
